CD4+ Tn	CD4+ blood-Tcm	CD4+ Temra	CD4+ tissue-Tcm	CD4+ Trm	CD4+ Th17	CD4+ activated T	CD4+ Tfh	CD4+ Treg
HEY1	0.16338827124838	0.116886740332322	0.0221949266492704	0.111787123684388	0.18482429107392	0.0493582017600488	0.154903738411361	0.137024301107984	0.158354624295587
HIC1	0.171044332518215	0.170979774665638	0.0292226709509537	0.108014220653562	0.283026569197819	0.0560233096753039	0.142685358819437	0.0773289091504491	0.157398826320901
HIVEP3	0.137360938831381	0.121969538597202	0.0259471912746837	0.0735995144371595	0.21454551920787	0.0449927034268742	0.136769153529267	0.0750461850607363	0.148916920451859
HLF	0.109446759007953	0.1453357596663	0.0267026570879008	0.105062782731305	0.320421815374023	0.0648896493898975	0.131900613079833	0.0621051638842367	0.165514168968576
HMGA1	0.195617050011449	0.181919416657543	0.0311495534049162	0.105245995230811	0.248591157077926	0.0548265331561143	0.139663791717279	0.0860554580666054	0.157376987965866
HNF4A	0.160072807468787	0.117162794306677	0.0205244552545049	0.140067667846093	0.229392567428105	0.0243726408780666	0.101103936506452	0.0517735619168752	0.136185173638577
HOXA1	0.10023708352556	0.0986814879462318	0.0200759567251029	0.0649935042286717	0.111981704911368	0.0252246489294912	0.0762740694718131	0.0510561586598236	0.0880828272875158
HOXA10	0.184051355221021	0.173977522876588	0.0295286855295922	0.115718221601012	0.262064883796085	0.053959672183161	0.137991678215356	0.0816641547326085	0.156603663598078
HOXA9	0.150996437461861	0.12427160699189	0.0220207660884701	0.130905205634924	0.214374042477733	0.0277585568664007	0.0957838652234234	0.0527616007769302	0.138800495022326
HOXB2	0.00722894980069777	0.0280259873215127	0.00632572172824564	0.0123654204098208	0.0324424133844251	0.0961481674128729	0.0115264544748545	0.00748045160743172	0.0220354695165735
HOXB7	0.103666423051451	0.140346127696509	0.0280612372208896	0.0612060485760494	0.14627488232574	0.0443275502759894	0.0908140406190351	0.0506345942536994	0.080116073495647
HSF1	0.190702314480656	0.178767959590988	0.0292259202521296	0.100295159198452	0.255665103058148	0.0530779638319403	0.14951733813833	0.0841768198119704	0.152908175763524
HSF2	0.0102728380503785	0.00999135544715823	0.00299433712718111	0.00526919981717011	0.00919978904900209	0.00186516343036425	0.0126674178378133	0.00626168231591606	0.00917235068410172
HSF4	0.130394415705382	0.178391536460968	0.0281016457945396	0.0832255693611592	0.215219226918252	0.044682093288687	0.109264175457292	0.0601750859812989	0.109750620153569
IKZF1	0.198947429231694	0.13674278751774	0.0225872967096971	0.0970406009575369	0.184888004032508	0.0397620894140913	0.162917299305701	0.0698816634492962	0.113784868990182
IL21	0.0648330535655747	0.0542922726885688	0.0234919204134441	0.0914515098442629	0.138544120142822	0.0477454123031843	0.0962992031865596	0.128012933996792	0.177983390444668
ING4	0.185391669516258	0.133839772312637	0.023541200033532	0.100849324261468	0.151908133331188	0.0353429628011431	0.119110958180172	0.0858021414625516	0.109676181788389
IRF1	0.151609413408517	0.154713549704534	0.0286277450582872	0.0957115545601143	0.310058860493486	0.0564013403878981	0.157477150439176	0.0688156054931568	0.154780953194013
IRF2	0.185203251743242	0.178489224296006	0.033178102955141	0.106836911383426	0.25551851505491	0.0591539798422138	0.140270332729619	0.0835893562960593	0.162809231996274
IRF3	0.184463013762085	0.180612422032143	0.0319601160429317	0.117397787558228	0.255963163599183	0.0548491890982865	0.135093414371711	0.084186086491592	0.159967501779386
IRF4	0.158028971968673	0.153246673785644	0.0308464740574144	0.105883810607285	0.281224979330189	0.0582845157099183	0.149877109897292	0.0836077864105034	0.175805341706775
