Fetal stromal 1	Stromal 1	Fetal stromal 2	Stromal 2	Stromal 3	Transitional stromal	FDC	mLTo	Inflammatory fibroblast	Reticular fibroblast	Cycling stromal	Myofibroblast 1	Myofibroblast 2	SMC 1	SMC 2	Cycling SMC	Immature pericyte	Mature pericyte	Mesoderm 1	Mesoderm 2	Mesothelium
CUX1	0.105525168065543	0.169306340979778	0.0798650600604187	0.0971722939460979	0.0888094184527364	0.0359762051048826	0.00173665449910776	0.00397864269119874	0.0280052399126935	0.0143435788184071	0.100740720753515	0.0619169519207855	0.0302032462021379	0.0920430036151691	0.0379073049905162	0.0172843117981265	0.0868881059833206	0.0208098714236035	0.121551437343951	0.18236594647873	0.0180786151754916
CUX2	0.079912443165122	0.075811665470314	0.0309410537456439	0.0273347632877758	0.0803362318181867	0.0117684079796601	0.00108241666498554	0.00795308648113757	0.00569888029437016	0.0109267040123643	0.0691576702385682	0.0489424312533732	0.0101189070447731	0.0285193100195608	0.0107624212613717	0.00455442174020082	0.152218580553205	0.021851049924046	0.0691720899123786	0.156768969174624	0.0076370043988665
DBP	0.0760988243901765	0.199590078687735	0.117902268065202	0.251077262066989	0.0247677864149856	0.0139812753486814	0.00068742298061053	0.000798663336090688	0.00822899831228974	0.00865854554951895	0.0489191796971113	0.0221577852754355	0.0233091902017102	0.0106555023656314	0.0029674692655679	0.000732065878063404	0.0264005970366344	0.00545816447357439	0.0416089886428319	0.105696914429557	0.0137481001738906
DDIT3	0.118158803053812	0.16270256235564	0.0898888021115888	0.101646925858161	0.0938019925972045	0.0285040357010766	0.00108167825357552	0.00459126798223375	0.0266735235064693	0.012615303034283	0.0944390259837393	0.0623990691107567	0.0201447308648155	0.0634239697825334	0.0346151742915445	0.0118833743842461	0.0988452988825388	0.016390267938864	0.0970123076685966	0.18270384930095	0.017743589240208
DLX1	0.106425498822937	0.113016070694322	0.0778896622107184	0.0586034095074086	0.0810033511492106	0.0431324726514926	0.00165181190137853	0.00292741308308353	0.0151001099965135	0.0102106627082923	0.0735874629994129	0.0741282798810743	0.0239181403730728	0.0634986585720088	0.0307110836551702	0.0104295964781809	0.07150574056107	0.0128132839457693	0.0840170787276211	0.179547813842177	0.0133322948643529
DLX5	0.0167193885207479	0.025583795384764	0.0211730126367178	0.024342636058158	0.0274804956427916	0.0111138270591861	0.00722528156292879	0.00338017672108737	0.00907256797033273	0.00892430797546784	0.0121066357024665	0.00784327306337951	0.0117265854900005	0.0354478281239583	0.0361583330174926	0.00665779278722145	0.172033643185682	0.0672465734940589	0.0207917079819244	0.0271148603796673	0.0105864014434436
DMRT2	0.0871372834017727	0.142966461754671	0.0587431352041714	0.0771739738933876	0.0608766248377837	0.0514901020611457	0.000960343942986386	0.00279304429876326	0.0183043106582841	0.0109722717156381	0.0776943454843206	0.0463616390073216	0.0188119475533907	0.064398270076351	0.0332193099527068	0.0136423850626445	0.0680730916059045	0.014980747924476	0.104489879283338	0.139355584519554	0.0154750039840793
DMRTA1	0.0499487271903817	0.227823262345671	0.0345391709838138	0.108900255770945	0.092503977971981	0.0664570390400225	0.011869912140981	0.00968982084688663	0.0493643001676939	0.0273476927780353	0.0342796830272181	0.0246369670726447	0.0228542101619129	0.0223425167653729	0.00963669800035494	0.00314845895045224	0.0538063097976564	0.0132603178802354	0.0446906581643608	0.0699309631513884	0.0322545245549264
DUSP22	0.00091632693063981	0.00319705651751534	0.000574459478328682	0.000433526826752018	0.00556786100667939	0.00584791197701651	0	0	0.00496422037191124	0.00719545333173288	0.000678663269659041	0.000177818778080874	8.88178419700125e-16	0.000366886279673073	0.0108797532318353	0.000599742703056738	0.0162627387567262	0.00325001343501541	0.0022282693176604	0.00389932196470599	0
E2F1	0.102708488554825	0.164107532539191	0.0791304931164252	0.093692672755018	0.0906759050685576	0.028733474578519	0.00146149767808124	0.00391408058826803	0.028773323916485	0.0137536762481542	0.137157272044135	0.0533593607906337	0.0248449953726009	0.0747562493714186	0.0309777951786654	0.0174861695691269	0.0835425561309828	0.0158402107194492	0.132405970479586	0.185753036855279	0.0187464333509115
E2F2	0.10412761454712	0.163827554834761	0.0765104613525368	0.0984239930647928	0.0697454173241591	0.0235521967900211	0.00136306252765128	0.00337196223826841	0.0210360584310195	0.0121192501198502	0.17505358307502	0.0526183478106441	0.0233358346663478	0.0656395299241124	0.021306245221422	0.0201006286792298	0.0770043227634818	0.0142973300395185	0.116173926247606	0.166767218280511	0.0136277666146748
E2F3	0.116469804240812	0.195113652649693	0.0945655316114634	0.113354730707838	0.0816889834228142	0.0595532146298989	0.00190572556317781	0.00429832410112674	0.028154756578984	0.015090637589836	0.110696590783773	0.0497867226772412	0.0249403549689091	0.0550320257064029	0.0213102367766262	0.0117989516742248	0.083425630052603	0.01606249913261	0.105680607964103	0.160435268002699	0.0135167938887905
E2F6	0.0909397385679939	0.169769925184231	0.0841569900863217	0.125190789553328	0.0717896598699387	0.0553751428211561	0.00205721138977677	0.00272866249962078	0.040736435551571	0.0145678315747599	0.0819902982344981	0.0407492543468804	0.0223076237750649	0.0651707551224626	0.025418791749546	0.0116557762156165	0.0868373515829874	0.0264333217023697	0.11165656350374	0.125844254207259	0.0188691039561342
E2F7	0.103969465858207	0.151684035725149	0.0785253350887325	0.0821182827287369	0.0865320990289896	0.0247238526827205	0.00133839506645184	0.00348790211413263	0.0210154974757025	0.0116439868601961	0.198569133717236	0.051134164926398	0.022334560234514	0.0629219812783338	0.0262581398400702	0.0251669156575085	0.0832264587815702	0.0156939892824279	0.110080088677917	0.180571830351625	0.0151061075951855
E2F8	0.109358303283789	0.154647321452974	0.0767731214704529	0.0800535058020591	0.0826197804634651	0.0254153051224474	0.0013690931627327	0.00358008117694053	0.0205235072988925	0.0117690006115994	0.185225719658123	0.0536924912589665	0.0219161282573894	0.0654406512692782	0.0262943774119151	0.0236342077314848	0.0852060452861656	0.0140972858050719	0.115564000833708	0.186080635215344	0.015530008642641
EBF1	0.106001658694541	0.180510982028479	0.0805241778059579	0.0981716620724332	0.0945677014588417	0.0483508454243939	0.00152711511946224	0.00437136223585921	0.0292640694237185	0.01465022082102	0.0920019917592039	0.0598678269610466	0.0255641312303649	0.0693828895167324	0.031737578665385	0.0127478421812665	0.095332727717694	0.0217966842497204	0.11422820506088	0.18320079051187	0.0147124229472017
EGR1	0.109210633596794	0.192349866227815	0.0838826091255847	0.109119450209537	0.0868386020589199	0.0376629676998306	0.00163012822650721	0.00421366497335574	0.0312536428155122	0.01550241887774	0.101008467744951	0.0573095355658201	0.0275621800878378	0.0692587579761377	0.0304523228062936	0.0133454522190082	0.0885778282981023	0.0188724595001653	0.109851134693324	0.179997532292039	0.0167277312454458
EGR2	0.113883425965832	0.216082877741513	0.0902400167342813	0.13096007430899	0.0751606358551069	0.0313922626245967	0.00152011956340414	0.00493417265651519	0.0321390427554193	0.0171142257030059	0.0773089526165002	0.0562834068893147	0.0220562636557484	0.0545748594891982	0.0274641250514934	0.00948006413582458	0.105484061008186	0.02049456059745	0.0817468784192792	0.148158138054209	0.0161671405281713
EGR3	0.10607688110822	0.200113748353878	0.0796967984960962	0.13518759011373	0.0656837056664259	0.0275100254462208	0.000512998099900908	0.00430847845201643	0.0277042889729521	0.0154892657072367	0.0530276958534276	0.0631481517572077	0.0170944695601571	0.0475489036170094	0.0297512686192269	0.00667588749601511	0.106410160529018	0.0265744172241101	0.0577105371872632	0.122506844665565	0.0138071210537178
EGR4	0.119144560824464	0.118921148427218	0.14540657672068	0.10832997084626	0.0439230685457717	0.0211348277579616	0.00239244027597052	0.00506754364545614	0.0228866686595897	0.00950192767628477	0.0335606908949514	0.0409391730562242	0.0180833938729948	0.0364156049127426	0.0192949253094113	0.00444530086763628	0.0614360249154706	0.00908194911935856	0.0344860967971548	0.0881831229256856	0.0108873890069897
