CD8+ Tn	CD8+ Tcm	CD8+ Teff	CD8+ Tem	CD8+ Trm	CD8+ IEL	CD8+ Tc17	CD8+ MAIT	CD8+ activated T
IRF3	0.148179417675847	0.0774264745232534	0.0981049787204591	0.196525900719942	0.247269489871433	0.227662272997559	0.0504964006163444	0.0634984561147054	0.0914167845726448
IRF4	0.119252137528049	0.066708217416805	0.0877614352540558	0.203727194518636	0.276931319269662	0.217072288277877	0.0569653147439996	0.0632510424073371	0.0936793651241132
IRF5	0.141682228109021	0.0765299954924054	0.0718572905128697	0.165974588463525	0.233788715666815	0.1618378176883	0.0492599358225065	0.0529762374304065	0.0993857180770304
IRF6	0.0897364599676027	0.0630563133354771	0.070423712971904	0.113860353117866	0.185478120883442	0.170717355313534	0.0419711661411056	0.0474049125840311	0.083651521558108
IRF7	0.140933867531449	0.0752387050192574	0.0955709193505861	0.206496580841334	0.256344532292737	0.210570388445842	0.0499462618829015	0.0662288020413159	0.0988672642429289
IRF8	0.11628383665012	0.0704297543758386	0.0942378537241274	0.196359910321694	0.266977199581503	0.226507604217675	0.0539873473563937	0.0670722266699857	0.0954585323733923
IRF9	0.146657079552761	0.0792225135713867	0.099737674318599	0.197347432696581	0.246394391626803	0.220213905819156	0.0528029664197153	0.0655173260035367	0.0973980156421702
JAZF1	0.0759546427305857	0.0630468910607374	0.155373013760319	0.18298275691413	0.139221162624549	0.144133037556857	0.0250254052559182	0.074812207526656	0.0735974368691328
JUN	0.149245053860463	0.0776944200522325	0.0870277298266084	0.194372872845776	0.27508887571576	0.204863291842987	0.0496124872641414	0.0653116307835439	0.0949469294090134
JUNB	0.155051783725198	0.0819877113398834	0.0868447604799935	0.191791235624783	0.27248653222946	0.200527095420453	0.0467227731543889	0.0656455626416518	0.0979509396150022
JUND	0.154343020053498	0.0782170488949963	0.0876221334016355	0.192451874374381	0.272516400105505	0.209661272432297	0.048183812768169	0.063613326853461	0.0921151149249163
KDM4B	0.00631499392653778	0.00736742498045795	0.00853550709365802	0.00568608259147907	0.00669410366512369	0.001957030055871	0	0.00266781071094957	0.00634438068866894
KDM5A	0.15640862881464	0.0811703885584757	0.0969467212460128	0.190885603872579	0.250670828732056	0.215037953601884	0.0481204113128449	0.0625353015896958	0.100378946842316
KLF10	0.110135262420843	0.0609230208249825	0.0651268407884374	0.19511071994478	0.307881115315548	0.176088491076991	0.0521999864192391	0.0711546997657588	0.0959734219822328
KLF11	0.0955945253290308	0.0655285392640554	0.0798920741028581	0.167093135807272	0.215681249690001	0.161293522955564	0.0412881985882112	0.0620550879174582	0.0791310081482854
KLF12	0.0417564707606026	0.0396220239802334	0.0444477854105122	0.0641851295532042	0.069597744975299	0.0553922170745408	0.015867787347597	0.0291464217080165	0.0435898035284999
KLF13	0.149748034119388	0.082975473885692	0.107407755055678	0.180896186579093	0.245193109373069	0.222725233501096	0.0468391200402297	0.0601800154793485	0.0911680070275863
KLF16	0.126456635327208	0.0665745009044905	0.0648380350680321	0.164834371348492	0.25724119913526	0.176455694901196	0.0395827948833392	0.050460393659186	0.0845990163804825
KLF2	0.168728495415225	0.0924186829252696	0.0998380116439462	0.190539548855666	0.250710612560054	0.196419694011657	0.0440919051767433	0.0667626348722358	0.0981320542278572
KLF3	0.167720505342266	0.0892605427307754	0.101554996263862	0.193616125848821	0.251029002265777	0.194847564963215	0.0440228371935752	0.0664178064446045	0.0991558626659527
KLF4	0.154055676634605	0.0776474305606284	0.0850258095991887	0.196630297293286	0.273289419590534	0.19420280735286	0.043950017649793	0.0651653451500472	0.0980587178459505
KLF5	0.150809431038604	0.0789096772565335	0.0935136762378528	0.191021050310115	0.251187429731215	0.208814114567201	0.0452218021543932	0.0640396423549531	0.0998646725104747
KLF6	0.113121828529682	0.0700342264443437	0.0714843453338795	0.185215217277622	0.324358638683414	0.172850389086871	0.0501576858660696	0.06683956606951	0.0880345102921686
KLF8	0.0723744618608596	0.0885441733348394	0.0405060593772809	0.112062214012384	0.125443238644698	0.0784442088444656	0.0149229017167444	0.0384191130084035	0.0401815279432798
KLF9	0.150112108278675	0.061540868417048	0.072374024821833	0.165292176744758	0.249135151553223	0.14451026675517	0.0318368725762858	0.0503406599990339	0.0729712856389565
LBX2	0.0161351662814182	0.0105144885412471	0.0124351474762251	0.0183340027823311	0.0150347264478106	0.0378020110784569	0.00561979570232296	0.00966901659350028	0.013744856360536
MAF	0.134820842814788	0.0733342310793986	0.0846220090838907	0.18850709250347	0.249652642370293	0.196654309862476	0.070966253530898	0.0754290203036423	0.0786959908898311
MAFA	0.0872622290238003	0.0549609457231486	0.0783144804520131	0.170573602104285	0.207397496010891	0.171507165098139	0.0420543794492266	0.0554272327864108	0.0737622574416509
MAFB	0.116459170553628	0.0701823206790066	0.0864534115755514	0.190704674303544	0.263193769291816	0.175610230906388	0.0440143302026643	0.0631066122030739	0.0820974010508094
MAFF	0.13780373239564	0.0739825747232816	0.0749914655747228	0.199982588396618	0.29371053165311	0.186082528055346	0.0435923087429593	0.0656499259183734	0.0990949804856462
MAFG	0.0908935926087449	0.0517308555208249	0.059141161298972	0.0940220670054376	0.117528923705578	0.0946939743681925	0.026348505070845	0.0398281419567308	0.0653062844136343
MAX	0.173530521782806	0.0867070159232889	0.0962507263653368	0.190157535025481	0.249079135850672	0.202748548895762	0.0459289334409108	0.0666126145386363	0.0972600618327072
MAZ	0.157329404277289	0.0837607171717206	0.10676994957593	0.197574533637907	0.235642461116337	0.216734203785375	0.0464370851325984	0.0654870426016715	0.0965213543914811
MECP2	0.100092243966485	0.0689124174171001	0.084206294243345	0.158340399521528	0.206164927355705	0.169522543745174	0.0487541947047802	0.0580166661878279	0.0657843457057669
MEF2A	0.0361581040319493	0.0270199576772285	0.0197929968501186	0.0359699459445436	0.0386467169289755	0.0314603065066362	0.0115173825173939	0.0177596511259923	0.03468296031297
