Non-classical monocyte	Classical monocyte	Inflammatory monocyte	APOE+ macrophage	LYVE1+ macrophage	AREG+ macrophage	Cycling macrophage	cDC1	cDC2	pDC	LAMP3+ DC	Mast	Megakaryocyte
ELF2	0.0928880164426518	0.400605971844981	0.0735646090758092	0.114016727903403	0.115875910849186	0.0425731039700804	0.0263666409817813	0.0252440084241724	0.126049022406917	0.0273818789648947	0.0220942922072934	0.109116391400917	0.0101862238440575
ELF3	0.0279937824112494	0.216345291722011	0.0448128970880926	0.0749660119630831	0.0593113247136661	0.0222154217614763	0.0155459132809166	0.0177313513106191	0.0478689183187156	0.0223531452195277	0.0132702725716192	0.090293240209402	0.00991401459256369
ELF4	0.0817303714536727	0.422701932948484	0.0855307900537932	0.129422879164237	0.0946235831720441	0.0351383850883018	0.024335078769424	0.0338241883459562	0.11476712828367	0.0242869851501815	0.0231660446068166	0.0902860622249876	0.011409811734017
ELK1	0.0775382045553292	0.355419022393226	0.0949112279646334	0.138021393574843	0.10931621444427	0.0445710340115185	0.0309015619448431	0.0353180436611096	0.145319365394947	0.0282192089543459	0.0343560860446079	0.109908913709417	0.0103732246986069
ELK3	0.0681061227699555	0.465019879344705	0.0846192616553773	0.114918327265649	0.0946478031580774	0.0354767589699385	0.0196988536461847	0.0168940452313742	0.101786077419299	0.0186953254023424	0.0141439238926037	0.0732135249219975	0.0113518545500901
ELK4	0.0796839603617188	0.382566901003034	0.0802997786045788	0.125843723943582	0.106751477249283	0.0426121135396087	0.0276951331198576	0.0302680015225425	0.128812315438151	0.0272946634669137	0.0229892401111004	0.107559693527353	0.00962560583448213
EMX2	0.0616859059685259	0.316622542040742	0.0341849481633574	0.037819350941993	0.0339880725579361	0.0174843648308912	0.00715294089624097	0.00950618737165965	0.0448568627518411	0.00797639320885635	0.0120927943852999	0.0570837749121427	0.00586895663918907
EP300	0.0895061591447356	0.429738449426892	0.0719696169280765	0.118050260697635	0.115869948599862	0.0400911242900652	0.0259746267692722	0.0243761280002438	0.117351465502944	0.0236508884501684	0.0180893535899209	0.0746075228055998	0.0104175458859886
ERF	0.0784571009472259	0.111369122624688	0.118302140043069	0.110565739439652	0.0468097519129035	0.0546676776628869	0.022020198519788	0.00485594393612543	0.0533969882136236	0.00225336830630918	0.0268552874378928	0.102322258119205	0.00205091667820456
ERG	0.0319065371005112	0.0812477691588878	0.035053689218717	0.0672045702512055	0.0539759749673351	0.0129022547238372	0.0116158373209816	0.0135700844408532	0.0418008141336287	0.00927829534196056	0.00938475423416485	0.302406445954254	0.0215663072090367
ESR1	0.0291818136881192	0.109959372433583	0.0604181557891068	0.0741965802571014	0.0634633382263272	0.0301867770126749	0.0170642978575133	0.0220549387425437	0.0666641944137635	0.0167706148281527	0.0436653438651324	0.101278014203499	0.00865609667350331
ESRRA	0.0698968667770254	0.341203521225717	0.0864557328541372	0.206120180232551	0.117427590094811	0.040063268577017	0.0341192944150238	0.0264814361151696	0.111334388268816	0.0213306770084785	0.0209949845710239	0.115531161383103	0.0118746243811553
ESRRG	0.0204449183091918	0.0993306304727305	0.0411243448897833	0.0785640549127148	0.0488317587666489	0.0266847361650191	0.0122232339608416	0.00189698637795532	0.0150565652442988	0.00943714749661551	0.0049401621361016	0.0215734062831332	0.00337165337691425
ETS1	0.0790076390908919	0.37561422256375	0.0733823420221444	0.13497428905535	0.118325947831054	0.045852331499772	0.0255492783899354	0.0241276117781954	0.104756856677131	0.0288382818235789	0.0270962162049001	0.123545339949667	0.0138622234324309
ETV1	0.0693217682272876	0.219393034133412	0.0591777595712401	0.193255429488533	0.242587925409198	0.0380090112010847	0.0415684678109244	0.0123221531426154	0.0810234402673543	0.0203015230096185	0.00833690834590139	0.0709346935730062	0.011558284138202
ETV2	0.0685494084539958	0.350038751612489	0.0702678654563832	0.135790600685334	0.0852241064353773	0.0329014776118871	0.031081265041993	0.0337237612317211	0.119595718377499	0.0632570792669499	0.026631928756671	0.14379653666053	0.0162347250932836
ETV5	0.0753910070888797	0.330876123530102	0.0846251013107214	0.215272064088282	0.127941591053711	0.0456037091270246	0.0405449747577448	0.0268293846964772	0.125729331735497	0.0209002210961523	0.0177943548013482	0.0914871225139147	0.00926018501907977
ETV6	0.0823890041239155	0.368646392056472	0.0832511610279763	0.146165300995117	0.108926803998334	0.0413116603018431	0.0346687058116699	0.0369756096473596	0.149384537934654	0.0295987400543719	0.0265201709368087	0.102154691201538	0.00960827393878916
ETV7	0.0824565803070286	0.338147881856611	0.119854903142888	0.155233813599662	0.107285411640135	0.0406101170925602	0.0327645347144425	0.0348087903574178	0.147868979881083	0.0209511003316682	0.0396729265741818	0.0891756028512745	0.00965112995177619
FLI1	0.0984095616956098	0.407385057339436	0.0747718893645565	0.12891552875373	0.1097156603314	0.0382533362302454	0.0283925599010099	0.026745234305896	0.126103720134834	0.0235744411499929	0.0186259485769177	0.0958169490274774	0.0150898700771289
FOS	0.0845430278680888	0.428229462919049	0.0732923604819234	0.115359836923465	0.111033624443156	0.0356405845893437	0.0265406667430493	0.0241584785002279	0.124737034669151	0.0221853880672445	0.0182601491963561	0.0962227751538092	0.00929660614314776
FOSB	0.0750890505267144	0.370989928056598	0.0866958607129463	0.144164002541123	0.112963226306192	0.0429608727595934	0.0317478084478146	0.0299402758010369	0.139481907672262	0.0250778062092991	0.0241485702903034	0.116016255471563	0.00946817528217836
FOSL1	0.0785424290772129	0.374644340396048	0.108078951654996	0.139870432361905	0.101622068342573	0.0401868193271377	0.0283813610775997	0.025694816285356	0.138847384872631	0.0185717892003314	0.0239750859628551	0.104533173039657	0.00914757805746713
FOSL2	0.0715828136808687	0.369925327382971	0.0993733106823773	0.145115332448092	0.114878866731412	0.0488879763989917	0.0289325198828777	0.026928341652818	0.139170694468894	0.0233916365787636	0.0247489122860237	0.0992504602135795	0.00881711275668451
FOXC1	0.0564386575487809	0.289507878350623	0.0755057326511286	0.136883412448482	0.0993200557316019	0.037363092083299	0.0337945388927494	0.0328854115138086	0.117154488265263	0.0276654438910182	0.0493225174633911	0.12407481790444	0.0092772503609091
FOXD4L1	0.0535817367348552	0.310831549471421	0.103360185097544	0.131560252151146	0.103857111637744	0.0425082482596895	0.0257041984411508	0.0255076031551381	0.107340603040867	0.0161597491573138	0.0506629544139638	0.137525371816865	0.00721870895787036
FOXF1	0.0219190336897692	0.102451222911144	0.0435523775047797	0.0774736224757882	0.0345174590004944	0.0290944147276477	0.0129734902218916	0.0165270215071794	0.0364967396058861	0.00789974718460307	0.0147027382823118	0.110020215944848	0.0166614614612348
FOXJ1	0.0508459029487557	0.204905317062917	0.0669922855629927	0.173307603115208	0.108262044537776	0.0428512627240824	0.0452281841409394	0.0329847965841773	0.132018312442873	0.0272320865859434	0.0293168912180383	0.197045287463621	0.0143924100413986
FOXJ2	0.0217363152634477	0.0758475800782454	0.0175227174062481	0.0153606067162825	0.0257067731365943	0.0103902646320132	0.00491505006858917	0.00861550034000347	0.0194713623202635	0.0105680617486766	0.00752958036841234	0.0426313421289676	0.0806951000234954
FOXJ3	0.027985524073276	0.0883338162643722	0.0218925917529429	0.0302599100607228	0.0472232188150553	0.0182535490568755	0.00817471898804467	0.00986350807631331	0.0231759634785694	0.0119183404692285	0.00831478649600825	0.0273522316129562	0.00483172338057369
FOXN3	0.03749780165411	0.133802020498233	0.045347006221952	0.0789130829291752	0.0853696043615878	0.0311699645404268	0.015160385343428	0.00908111685091217	0.0654219684186736	0.0120084445000699	0.0187257225858747	0.052751041840816	0.00383928935681976
FOXO1	0.0733159067772076	0.346667951923498	0.0934967470721868	0.131239180502939	0.11021889973953	0.0493420782624121	0.0211982815901334	0.0157496644608629	0.100470868429719	0.0164624407535665	0.0321814797293016	0.0920716973077188	0.0122554244067891
FOXO3	0.0741658721282572	0.350429286391887	0.0842292917126554	0.161420014760402	0.160241136310201	0.0562794962514375	0.0299595309484971	0.0199146659270479	0.11354892275141	0.0208668893476535	0.0214226409040261	0.0942475511596083	0.0111756175658352
FOXO4	0.0801787370248531	0.366820322440745	0.0654386452024799	0.079262807081915	0.0990296942587752	0.0306598884853433	0.0254417594632869	0.0259879930759763	0.112294013347177	0.0319877026668732	0.0265500874740582	0.0915430135560552	0.008323466206692
FOXP1	0.0737869839875678	0.330119790273562	0.0798938339387615	0.133006123383524	0.104441016688189	0.0437808508693304	0.0260981050100858	0.0288213310552439	0.120266054716767	0.0244335822144484	0.0347767607994173	0.192855447738332	0.0123585677174293
FOXP2	0.0565463274444493	0.263255614009438	0.0635663031090504	0.130868213469831	0.144798018809512	0.0377217710147046	0.0221977074658518	0.0159970078689926	0.0767704534681892	0.0156400221084614	0.0123702336731757	0.133820934347537	0.0120521844291519
GABPA	0.0718095946619474	0.345902792642253	0.0845288303669778	0.159175422450902	0.131947832468582	0.0407315601726725	0.0375170735022604	0.0326598787083683	0.124520525056011	0.0236782523557881	0.0237863632242873	0.113795258254912	0.0120150352787777
GABPB1	0.0762076822059496	0.348058930220885	0.0840175389440535	0.150334003628581	0.100633722041783	0.0512499539568391	0.0360622261903235	0.0351781643324154	0.154890291721199	0.0268455873195499	0.0317662844892986	0.119509999396151	0.0108052154324318
GATA1	0.0673977485159093	0.315766034344142	0.079944580282692	0.138944749058241	0.0990174051530432	0.0385930936527086	0.0285835595956174	0.0320981927228181	0.118396725612225	0.0214222526906613	0.0243498251572007	0.207453816702035	0.0421966262553333
GATA2	0.0441319615523214	0.233278318447801	0.057404469234264	0.11600008225504	0.0703214544514179	0.0302792784337534	0.0211806093949648	0.0194931731011486	0.0889405230640533	0.0189926376606084	0.0166304369626387	0.394046443053108	0.0186920427866318
GATA6	0.136628444172787	0.241954377992626	0.0575621956424399	0.0764227972584904	0.0562192986880379	0.0251537252763396	0.0207210759958633	0.0302358683535348	0.107933344394538	0.0199243665525723	0.0216318061445447	0.0684892795593069	0.012700294727551
GLIS3	0.0765841807221418	0.146150255188296	0.0343716480048036	0.0319702782852572	0.0352160030064335	0.0104760816710978	0.00650377899176879	0.00686498657895773	0.029704081791767	0.00757440179384128	0.0371348947725624	0.0208913401549572	0.0232921977720112
GMEB1	0.0485943296148923	0.275483547850116	0.110593795273585	0.148923159660075	0.119182515643603	0.0551181414507737	0.0268305487186431	0.0267723747259606	0.115126759603977	0.0299705586164198	0.024127735472516	0.141335585084347	0.00728938539328083
GTF2B	0.0746221050238938	0.327837013264611	0.0871414608213101	0.159553795323345	0.12064611737247	0.04573776327554	0.0387990130371532	0.0360360355782728	0.154774813820558	0.0268662260053939	0.0267786329125766	0.11988441288993	0.0110464279412623
GTF2I	0.0312223002843424	0.0741207513068834	0.0215506648350945	0.0347894710513951	0.0489756118320386	0.0186377882335775	0.011308717270479	0.0148189280753419	0.0302983124509624	0.00956789631681709	0.0119957326997022	0.024498854334793	0.00453820690285267
GTF3C2	0.0699736762662894	0.35270335406314	0.0742983882919319	0.170135911879982	0.120403877151927	0.043405355140932	0.0279251876838068	0.0272219841613586	0.119965887120857	0.0291854607937272	0.0222244860841821	0.0982405574446207	0.010580099120802
HDAC2	0.0772568093600829	0.346103833281642	0.0793509772075947	0.154145095897672	0.102452368127296	0.0378663954763729	0.0443356094826354	0.0421328320750027	0.156116694232025	0.0305245406569228	0.0269913603338099	0.120583062246332	0.0104287744518807
HES1	0.0715570933096566	0.317940176835943	0.0842311701706765	0.190850565540434	0.118532655163664	0.0453640327770686	0.0435923656978691	0.0358026281634505	0.152044635698782	0.0271983723786647	0.0257347650545602	0.10668863474764	0.00770138614629023
HESX1	0.0335040647415714	0.0293989788585697	0.0171996207332631	0.0166405978434671	0.00770963614802078	0.00392764671763213	0.00588868045465829	0.00275730219661185	0.00967018454939639	0.00756389960988624	0.0120256289554295	0.0370971451291012	0.00705449014190473
HIC1	0.0728268965146943	0.332247510246022	0.0915443793934368	0.1690954680819	0.120685630799711	0.047564919334015	0.0361493224765269	0.036170317414829	0.153391440761882	0.0256816407536431	0.0271100207069671	0.10387562279714	0.0094736997154734
HINFP	0.0371559157567566	0.18231880287184	0.0392862673030436	0.0658908727513026	0.0651377910476268	0.0315025156239688	0.0149978211574857	0.0190739197266602	0.0653075295302047	0.0402756131438335	0.0168955742483224	0.0785508021490925	0.0184612234720577
HIVEP1	0.074498406609998	0.332432531138621	0.0992782477038237	0.141421776531298	0.126395576553478	0.0383464501529666	0.027540340623734	0.0325717092630509	0.136791954302825	0.0369672737532695	0.059386832425095	0.100200543430051	0.0112430289795656
