IgA plasma	IgG plasma	IgA+IgG+ plasma	IgA-IgG- plasma	Pro-B	Naive B	Memory B	GC B	Cycling GC B	Cycling plasma
CUX1	0.218141854691498	0.0637132275849484	0.0190590466448415	0.0274244268808215	0.00691600335907827	0.325648938979938	0.263046938349094	0.108860372608518	0.0775387667905718	0.00632334347058827
DBP	0.301840496234471	0.0928321048813577	0.0302852536959796	0.0448213408328921	0.0037903456310534	0.111116313311419	0.118533950078065	0.0207008109583118	0.0157921569343732	0.0120925493012749
DDIT3	0.297950940333333	0.0835892479749791	0.0250763125104757	0.0353350909019235	0.00524569378874351	0.289747624024562	0.241068013624616	0.0674265949438132	0.0494102873474961	0.00737287938441999
DMRTA1	0.0559459060842722	0.0342930088411616	0.012323999543745	0.0142659246294813	0.00142229025861673	0.00845860900566642	0.0280408412486177	0.00429822597978269	0.00266920851706409	0.000415921570635414
E2F1	0.226771240920183	0.0642653521125294	0.0204021402544325	0.0272353590545743	0.00634096547718055	0.326696669050726	0.260676939318808	0.0924437247866176	0.0880950903464928	0.00899834496159968
E2F2	0.240381983211574	0.0690090836141606	0.0221111966027584	0.0296004592571415	0.0070111984989909	0.316559646802549	0.257131356959014	0.0813109905487136	0.0863317583153719	0.00918712775318542
E2F3	0.261347566329429	0.078281745754035	0.0270275433504059	0.0330027327298243	0.00673746710279632	0.301544398869328	0.244092086603316	0.0694780001498029	0.0496659247324538	0.00691353743969747
E2F4	0.263298787921196	0.0720252078787551	0.0251446186436117	0.0306623713285786	0.00544440199063234	0.312572449113236	0.256932427214428	0.0770037146559985	0.0609389524258979	0.0096025300848176
E2F6	0.264709676883406	0.0810017292838269	0.0308952694237359	0.034954439942578	0.00944173874290544	0.232558291350609	0.198180589273914	0.0569507556261084	0.0364557191361649	0.0107725482901544
E2F7	0.217354569732191	0.0663278139102147	0.021370400728704	0.0273429642962107	0.00639071114084533	0.300951340500451	0.259767500001642	0.085388315739661	0.114193889946687	0.0109051500708394
E2F8	0.225283810472183	0.0647795433892068	0.0199429843502248	0.0273142971120858	0.00699363058998081	0.317540718852297	0.256263127465338	0.0939206964817071	0.104120848789725	0.010066532956914
EGR1	0.334029858487187	0.0935639368723314	0.0289617694225018	0.0390067440566474	0.00502112234239971	0.267956098161186	0.229914317284486	0.0574054815044841	0.0423274774524838	0.00845886981005983
EGR2	0.249543760423157	0.0679279245700801	0.0216395858554264	0.029530400272945	0.00492965552516	0.322942163131201	0.264714875739377	0.0797163781764276	0.0549638708115002	0.0061832528228013
EGR3	0.226287339919547	0.0660872351774436	0.0214196812878786	0.0281743417703733	0.00514917354783573	0.331521238743051	0.279339209401404	0.0662062450508594	0.0372646954495751	0.00364017504208092
EHF	0.0375736888761049	0.0185481423028825	0.0114083444319547	0.0130884230857534	0.00264747321806325	0.018073791358182	0.0174093080460697	0.00770808668041678	0.00317854305252752	0.00149767547861612
ELF1	0.228847061337784	0.0669354018133462	0.0203289386694437	0.0281588224345372	0.0064051571425191	0.335700059697703	0.269480731258911	0.0845154690958262	0.0616113165405969	0.00651083298827837
ELF2	0.224771320553251	0.066261218905726	0.0193746527399509	0.0279477722373763	0.00653386890373631	0.349181125368833	0.273877436042932	0.0700577192300997	0.0448603748434211	0.00548042521340586
ELF4	0.0656899990839814	0.0242554405977744	0.00607623894061671	0.00959754354381726	0.0059301383253898	0.409650320944485	0.307472221222757	0.0975199199405664	0.0527315853006699	0.00162096577873028
ELK1	0.230787145717894	0.069335538066188	0.0222554389382791	0.0289408550093454	0.00633509673727561	0.319822406107315	0.288997669286469	0.0638550310096794	0.0425429108581667	0.00608852297957685
ELK3	0.191899280887114	0.0612464896049849	0.0173008034672026	0.0239646037724042	0.00645229262128544	0.353783044439613	0.276096360096326	0.103179580767944	0.0577880357427691	0.00482313691525782
ELK4	0.234472283501211	0.0642001181805087	0.0224723671209663	0.0295696109197097	0.00612018601025166	0.329902166630318	0.266368937117258	0.0815217974271519	0.0564417378859077	0.00736109589451761
ENO1	0.241118553832409	0.0634191282102851	0.0194309604414594	0.0282187413262827	0.00619729916912659	0.304091078459322	0.243677772883154	0.0909079403007101	0.0890849365129112	0.0130758095299409
EOMES	0.156143734814285	0.0487177937435894	0.0150114485892977	0.0213387760110941	0.00464715616883959	0.273942425776821	0.273279182143574	0.0317855996371299	0.0116464775195458	0.00167877310257925
